,ep_reward,avg_reward,steps
0,-339.20793766976396,-339.20793766976396,89
1,-154.88285959881213,-247.04539863428806,139
2,-384.6248797231737,-292.9052256639166,85
3,24.649024209602274,-213.5166631955369,125
4,-369.88117778630163,-244.78956611368986,92
5,-525.7493734302932,-291.6162006664571,102
6,-173.89242679031747,-274.7985186841514,159
7,-376.8221394046946,-287.5514712742193,111
8,-343.03443646653704,-293.7162451844768,99
9,-312.4723617275237,-295.5918568387815,170
10,-108.2410367306542,-278.55996410167904,140
11,-468.3870164345869,-294.37888512942135,78
12,-378.5603578163557,-300.85438302841624,110
13,-75.83699348235207,-284.78171234655457,103
14,-171.02000158639518,-277.19759829587724,116
15,-152.17187438402453,-269.3834905513865,138
16,-230.06699765885236,-267.0707556753551,95
17,-199.1480695766482,-263.29727311431583,116
18,-82.57594723007533,-253.78562438356633,78
19,-79.63481660361451,-245.07808399456871,86
20,-213.9424118451056,-243.59543293983236,110
21,-50.15872344068739,-234.80285523532575,107
22,-226.21379013400747,-234.42941762222495,178
23,-65.22502500539784,-227.37923459652384,74
24,-98.23534053053172,-222.21347883388418,130
25,-86.03916707957805,-216.97600530487242,65
26,-195.1354661378067,-216.16709644683291,126
27,-231.61675758656514,-216.7188700589662,110
28,-442.4888334845149,-224.50404121157132,108
29,-126.191615553954,-221.2269603563174,128
30,-240.7089063800135,-221.85541022804952,103
31,-279.6406411560547,-223.6611986945497,133
32,-17.923055613189604,-217.42670951026608,86
33,-372.58739185762107,-221.99025899107062,92
34,-281.3104837298683,-223.68512255503626,129
35,-156.2006286996362,-221.81055328127516,111
36,-168.30387343255725,-220.3644267988774,115
37,-190.72002954282522,-219.58431108161284,131
38,-89.22749498011302,-216.24182861747178,77
39,-107.31309336911353,-213.51861023626287,111
40,-96.57245911147535,-210.66626508687784,87
41,-76.69046525041176,-207.47636509077148,79
42,-243.27063540764075,-208.30878998186145,143
43,-57.115641508526245,-204.87258206201292,66
44,-142.1431891836117,-203.47859555360398,128
45,-92.37152595909137,-201.06322447546242,101
46,-89.48269652169506,-198.68917068921203,91
47,-65.32997775626879,-195.91085416977577,68
48,-104.83392769954122,-194.05214138466894,108
49,-102.55659956338576,-192.2222305482433,76
50,-154.01113413262192,-191.47299336362323,92
51,-55.287978389498456,-188.85405076796698,128
52,-201.34710957878147,-189.08976885873707,112
53,-205.16078480473743,-189.38738026514446,126
54,-114.73876926745695,-188.03013279245923,78
55,-191.7860810864375,-188.09720329770886,79
56,-80.66710281274541,-186.21246469270952,77
57,-202.44292657391276,-186.49230024238543,119
58,-222.4096063717563,-187.10106814288326,117
59,-117.36433965699429,-185.93878933478513,100
60,-102.2511714884377,-184.5668611733696,87
61,-94.57378319423276,-183.1153599156416,109
62,-196.07240600581545,-183.3210273138983,114
63,-33.87341959816527,-180.98590844333995,89
64,-121.32044584524294,-180.0679782495231,97
65,-56.30054883679034,-178.19271416751198,90
66,-125.53610596361072,-177.40679464208063,98
67,-42.948989343102596,-175.42947397591917,70
68,-157.70597117995396,-175.17261161655736,116
69,-257.778114025502,-176.35269022239945,122
70,-58.81560944928171,-174.69723838052454,69
71,-136.78856681101627,-174.17072905317025,107
72,-53.66364712471315,-172.5199471089448,115
73,33.262331652757204,-169.73910550405694,1000
74,-87.76752696341822,-168.6461511235151,78
75,-114.87088077468269,-167.93858177681992,81
76,-92.80756907036046,-166.9628543390737,96
77,-102.89878853162868,-166.14152016205517,101
78,-104.08512306145009,-165.35599614812347,91
79,-203.33759903698694,-165.83076618423425,106
80,-19.200191477916647,-164.02051217551428,192
81,-262.87133790054725,-165.22601005020982,156
82,-142.21076828909338,-164.94871798079876,105
83,-492.31402055875293,-168.84592396386967,171
84,-152.5736793198377,-168.65448579158692,130
85,-162.44271379977846,-168.58225588470543,139
86,-94.5634026151042,-167.73146446781345,101
87,-69.6748293782469,-166.61718452361384,99
88,-73.20441278712305,-165.56760281870945,77
89,-99.22116076058698,-164.83042012917477,86
90,-55.190296829661605,-163.6255836093999,165
91,-89.18693895038031,-162.81646790658448,121
92,-199.1235701834263,-163.20686685579784,114
93,-283.12657679310496,-164.48260845087557,136
94,-49.94805358673516,-163.27698155756883,90
95,-190.28524189287754,-163.55831760272827,123
96,4.401357056390552,-161.8267745650054,94
97,-277.13266999062364,-163.00336533465455,97
98,-139.75356428777368,-162.76851885943353,127
99,-163.59821057132777,-162.7768157765525,95
100,6.623484219071912,-159.31850155766415,112
101,-192.33851870792802,-159.6930581487553,113
102,-75.29874887882218,-156.5997968403118,214
103,-31.763122050874642,-157.16391830291653,167
104,-290.50205145040786,-156.37012703955762,151
105,-439.9715705436906,-155.51234901069157,162
106,-40.90589431396463,-154.18248368592805,102
107,-97.42074952796949,-151.3884697871608,206
108,-164.57496917976772,-149.60387511429312,115
109,-96.87909561973115,-147.4479424532152,180
110,-120.05801053504392,-147.5661121912591,95
111,-52.397088778563365,-143.40621291469884,84
112,-78.66612196597241,-140.40727055619502,117
113,-260.17198925653804,-142.2506205139369,272
114,-234.16501724338653,-142.8820706705068,114
115,6.286953397641966,-141.2974823926901,178
116,-245.45111534842258,-141.4513235695858,138
117,-59.885016529559636,-140.05869303911493,150
118,-61.461104780682916,-139.847544614621,232
119,-47.11274177237527,-139.52232386630862,97
120,-86.52872119546218,-138.24818695981216,97
121,-9.176540162944306,-137.83836512703473,150
122,-115.86588940087051,-136.73488611970336,125
123,-389.21936991726056,-139.974829568822,177
124,-461.1055465944711,-143.6035316294614,191
125,-358.12134220946217,-146.32435338076027,104
126,-219.56439218805076,-146.5686426412627,170
127,-348.72368876561825,-147.73971195305322,133
128,-191.5013158547673,-145.22983677675575,268
129,-7.869444647238311,-144.04661506768858,131
130,-208.85228469017113,-143.72804885079017,177
131,-430.3876976829379,-145.235519416059,159
132,-176.77882258524593,-146.82407708577955,147
133,-158.7679287281703,-144.68588245448504,215
134,-458.3468415076291,-146.45624603226267,249
135,35.72212809984222,-144.53701846426787,246
136,-115.6855716059076,-144.01083544600138,204
137,-160.00162093765584,-143.70365135994967,101
138,-220.05291794971424,-145.0119055896457,188
139,-195.64397096080071,-145.89521436556254,200
140,-192.38954085422247,-146.85338518299005,115
141,-3.6736150900811992,-146.12321668138674,113
142,-76.7669978664041,-144.45818030597437,127
143,-72.3616196713566,-144.6106400876027,119
144,-48.365651915425474,-143.67286471492082,171
145,-202.4697659280556,-144.77384711461045,196
146,-196.1863117134144,-145.84088326652764,125
147,-88.55259133628307,-146.0731094023278,87
148,-58.49826450957789,-145.60975277042817,81
149,-42.21137282591286,-145.00630050305344,84
150,-37.31893049557904,-143.83937846668303,82
151,-359.991674866434,-146.88641543145238,132
