,ep_reward,steps,avg_reward
146,-145.4626548220694,153,-121.10672679313073
147,-144.55614973743144,171,-120.2541805776354
148,-55.627377085926824,280,-120.32663358056323
149,-142.45627475548028,95,-119.9820122028927
150,-174.27445577811875,199,-119.25315848417073
151,-198.41744441188717,127,-119.75939364649625
152,-197.4773247277828,180,-120.62228005048887
153,-183.0906480305796,242,-120.20656890553983
154,-52.18914882602424,999,-118.48806652483721
155,-117.75405165282633,140,-118.54961889834314
156,-145.23000616665396,166,-118.96732998197254
157,-117.37172850758057,121,-117.69089986539187
158,-15.35920523517195,999,-116.40684481271825
159,-29.450834165979973,999,-115.458097864222
160,-70.83427996533635,137,-115.15006905895325
161,-5.50081050905748,999,-113.77035633165842
162,15.370722371795065,999,-111.80745931132458
163,5.367982465819592,999,-108.44576414393379
164,-7.8593644848433595,999,-106.6783253074254
165,-22.442035488735616,999,-104.9857109372215
166,10.811972860040187,999,-104.28177054511667
167,-5.003469858302639,999,-102.33833411742567
168,-3.6319244891783136,999,-100.14390152409233
169,-31.85859670316908,999,-98.8514064135208
170,-50.09485542021066,999,-98.61926854133273
171,-11.866345211542777,999,-96.4644570319535
172,45.012348879644335,999,-95.05189799402253
173,14.049330549889554,999,-93.81920363339611
174,57.26097590038971,999,-91.24994727767864
175,-18.81355147374324,999,-90.81472909228368
176,-97.39010748133772,999,-89.75235739653766
177,-132.24645467264077,403,-89.67380039112591
178,-28.71167970264222,999,-87.89771039106974
179,-7.770381464189369,999,-85.78011710837899
180,-178.05736179113003,999,-86.47803163836878
181,-8.03759710463165,999,-85.48151252537983
182,-21.758817886118536,999,-83.5989481915504
183,13.764849729658328,999,-81.27183063394625
184,20.39965640703657,999,-80.1954088588478
185,37.8892683685094,999,-78.74733626544705
186,48.62262175487717,999,-76.5670029945258
187,-26.290161492614658,999,-74.86237538776918
188,15.061213128356473,999,-72.49069152034737
189,20.88351206332264,999,-71.59452755502822
190,184.41923799144973,712,-68.90876305729807
191,-5.426557565970921,999,-68.02821504656492
192,204.5335583645961,446,-63.87010405518047
193,-107.08101692587094,999,-62.598770482134796
194,-131.22458327467928,999,-61.73655783230995
195,-199.00926457836232,946,-61.9248202469771
196,-81.94488266952897,999,-60.52210624494495
197,-157.89221984604944,696,-60.0566363517296
198,237.06468905698563,265,-55.48171197238338
199,-61.842915347033255,598,-54.19558648465019
200,-69.31624244907793,342,-54.24403234153955
201,-83.91877978773115,384,-53.33762393758618
202,-36.855091743858,999,-51.28579322713359
203,-105.39267249328158,635,-51.67851994496719
204,-19.260217779984497,999,-50.729117479293464
205,226.85455232561824,237,-47.75400595952858
206,-45.012414200565985,201,-47.20832418730195
207,-29.066999838702376,999,-46.24107844145506
208,-42.0189155483788,999,-45.783097194300666
209,-19.475853668043282,999,-45.270125316174266
210,230.34516899569184,299,-42.0304551491812
211,-25.310656153345406,364,-42.09685319347899
212,-76.98145925489958,324,-42.04743121850986
213,-88.13623751251696,134,-42.90029288666237
214,-79.73422113131336,328,-42.72539442853645
215,-68.42210628350715,999,-43.09781565569817
216,-27.823869903050678,285,-43.13653589613811
217,-75.63814475636173,394,-42.36025248427168
218,-74.5165253069346,999,-42.13868259296935
219,-35.13349987742493,999,-42.06122894738963
220,-55.85714174124433,999,-41.978504760411035
221,224.02484688991095,278,-38.37420832082488
222,-62.18252740600357,999,-38.36637654042741
223,-84.63880167882394,999,-38.39699947446141
224,-72.59279137148764,144,-38.59122602189028
225,-51.17005544253316,217,-38.512739442284335
226,24.754589375304214,999,-39.80861264514529
227,-28.091439165772588,999,-39.787880756548844
228,-67.50103716280799,999,-40.04885287284557
229,-67.44655706786304,999,-40.65371033812628
230,-102.29221693158038,463,-41.05514579061164
231,-108.50760540082644,182,-41.54992274847015
232,47.31438742428592,999,-40.793019193480156
233,-60.69064478757383,338,-41.568760849181054
234,215.3091005654337,353,-39.615305882221904
235,-35.42794154060744,999,-41.84186272795852
236,-140.34251687791908,595,-43.139876130168616
237,-74.1472159281357,999,-43.45436465390524
238,-34.776183538540145,999,-43.537128654742055
239,-35.6602181629093,999,-43.220094674718965
240,134.2728682906262,966,-40.088759574093395
241,-40.54504981346321,999,-38.897900402781666
242,-7.54389811514134,999,-37.713979368446864
243,-100.47196503177278,999,-37.079478933675425
244,213.40477115364564,633,-33.45782172168181
245,-0.5616546620479923,999,-31.769756839135784
246,-186.72913119555648,878,-32.18242160287065
247,221.7064264578679,358,-28.519795840917656
248,212.26383293095003,412,-25.840883740748883
249,165.72347230136938,445,-22.759086270180386
250,-41.53706072602154,999,-21.431712319659415
251,-25.187397814046534,999,-19.699411853681003
252,-20.02760778798666,999,-17.924914684283046
253,-29.224159700248403,999,-16.386249800979737
254,-48.64749525179312,999,-16.350833265237426
255,-166.37225952621395,715,-16.837015343971302
256,-210.6902713865542,872,-17.4916179961703
257,-139.17964300370338,474,-17.70969714113153
258,-42.59016683837332,999,-17.982006757163546
259,-19.84598453518815,999,-17.88595826085563
260,-152.728313559995,471,-18.704898596802217
261,-204.2618552195234,416,-20.692509043906874
262,-176.29150836759632,545,-22.609131351300785
263,-127.81115296030322,526,-23.940922705562016
264,-138.75655964317417,448,-25.249894657145322
265,-213.74765808441256,604,-27.162950883102095
266,-29.25736389341766,309,-27.563644250636674
267,-147.18922921582066,497,-28.98550184421185
268,-162.02968235716764,425,-30.569479422891742
269,-151.23191707928927,447,-31.763212626652948
270,-151.22624009767028,385,-32.774526473427535
271,-154.68936593462922,875,-34.2027566806584
272,-127.79759213565843,501,-35.93085609081143
273,-162.08557243499604,895,-37.69220512066028
274,-126.13028940643557,475,-39.52611777372854
275,-133.75755149955162,463,-40.67555777398662
276,-152.8571916693315,467,-41.230228615866565
277,-114.99535137771989,481,-41.05771758291735
278,-109.14917934698084,541,-41.86209257936074
279,-117.37575515513089,584,-42.95814631627015
280,193.23702683804694,867,-39.24520242997839
281,-164.55951067227846,821,-40.81042156565486
282,-172.73369314947604,692,-42.32017031828844
283,261.4361291164556,287,-39.84345752442046
284,-125.5067746881398,999,-41.302521835372225
285,-85.17258647064098,999,-42.53314038376374
286,257.46206425309805,307,-40.444745958781525
287,221.53356143426012,628,-37.96650872951277
288,-77.50032965309822,999,-38.89212415732731
289,-8.327345885046908,999,-39.184232736811
290,224.0181357501911,503,-38.78824375922359
291,260.54989983717235,521,-36.12847918519217
292,232.3877817395623,301,-35.84993695144251
293,216.38451236369067,394,-32.615281658546884
294,175.3233588846125,553,-29.54980223695397
295,195.2143965160034,634,-25.60756562601032
296,0.9707631506859231,999,-24.778409167808167
297,221.07124825170118,295,-20.98877448683066
298,56.33479330367883,999,-22.796073444363724
299,28.014084783711745,999,-21.897503443056276
300,225.14091761627543,466,-18.952931842402744
301,61.078189033735626,999,-17.502962154188072
302,203.4696124613895,797,-15.099715112135598
303,221.63894222434766,545,-11.829398964959307
304,191.4606847255289,555,-9.722189939904172
305,179.72623596830175,608,-10.193473103477338
306,214.88079843693825,964,-7.594540977102297
307,-32.23378612390114,999,-7.626208839954286
308,258.0215243403791,451,-4.625804441066707
309,146.22870539317168,546,-2.9687588504545555
310,201.33290048877186,662,-3.258881535523757
311,59.75542689863903,999,-2.4082207050039095
312,-15.661300767142539,999,-1.7950191201263401
313,177.4336403952566,637,0.860679658951396
314,-6.859489790305739,999,1.589426972361473
315,210.02437033770138,965,4.373891738573559
316,-25.078085004599195,999,4.401349587558074
317,-41.531886254472,999,4.742412172576971
318,-36.239895230638936,999,5.125178473339926
319,-68.34602384803165,999,4.79305323363386
320,2.3621541457056123,999,5.37524619250336
321,9.808607693096086,999,3.23308380053521
322,-13.850243304006462,999,3.716406641555181
323,-24.56663302349956,999,4.317128328108425
324,289.9333074325457,429,7.942389316148759
325,-55.19102130626307,999,7.902179657511459
326,-20.391368389758597,999,7.45072007986083
327,-21.28801369563535,999,7.518754334562204
328,40.82419223620974,190,8.602006628552381
329,-36.35010420880111,999,8.912971157143003
330,80.30677632504413,147,10.738961089709244
331,-3.6956904782357007,999,11.78708023893515
332,284.39180192901085,543,14.157854383982398
333,83.70854535162795,999,15.601846285374418
334,98.31305959094385,999,14.431885875629519
335,46.789264537846265,148,15.254057936414055
336,131.46327038063018,999,17.972115808999543
337,50.54727330267036,148,19.21906070130761
338,131.59288943010526,999,20.882751430994063
339,248.2324462408179,225,23.72167807503133
340,250.95668151944201,723,24.888516207319494
341,228.92381188062583,698,27.583204824260385
342,234.56519984245872,389,30.004295803836385
343,250.9558701727986,385,33.5185741558821
344,262.4965834837018,251,34.00949227918266
345,249.64269819846936,231,36.51153580778783
346,258.44946694986913,476,40.96332178924209
347,226.23521475805484,239,41.008609672243956
348,278.23834052172185,280,41.66835474815167
349,262.21404988260224,186,42.63326052396401
350,266.90965476749466,606,45.717727678899166
351,269.729858063987,177,48.6669002376795
352,265.9503296406407,499,51.526679611965776
353,270.5633203796451,355,54.52455441276471
354,265.38120955211855,578,57.664841460803835
355,231.9617447831973,283,61.64818150389794
356,263.9846561371177,270,66.39493077913465
357,109.39121869268429,999,68.88063939609854
358,235.71299777093168,581,71.6636710421916
359,46.56899450573439,999,72.32782083260082
360,224.60930114252355,426,76.101196979626
361,-16.72662260796923,999,77.97654930574156
362,237.5659030287869,259,82.11512341970538
363,282.6716581308873,346,86.21995153061727
364,268.20570669757103,362,90.2895741940247
365,233.27218056019416,687,94.75977258047078
366,145.56116877313318,999,96.50795790713627
367,172.34253719339642,582,99.70327557122847
368,218.5537582812056,896,103.50910997761221
369,-121.17486623685275,780,103.80968048603656
370,70.43602762116251,999,106.0263031632249
371,-64.94070533724228,999,106.92378976919878
372,-166.97731457737095,822,106.53199254478164
373,-43.229933285153706,999,107.72054893628008
374,-36.22572816924237,999,108.61959454865202
375,-76.54660347252054,999,109.1917040289223
376,-86.54048992097795,999,109.85487104640586
377,-118.09766174824814,684,109.82384794270058
378,-131.8400056050923,662,109.59693968011945
379,-58.94334839994643,999,110.18126374767131
380,-220.62595726818466,973,106.04263390660898
381,-59.138602642997064,999,107.09684298690179
382,-104.0764229432093,427,107.78341568896447
383,-63.73868968067295,999,104.53166750099315
384,-114.91908729554223,331,104.63754437491914
385,226.36719360093076,525,107.75294217563486
386,-72.98280471909675,264,104.44849348591292
387,-169.34023680861233,755,100.53975550348419
388,-45.16886994727433,235,100.86307010054244
389,-67.75157822548255,374,100.26882777713809
390,-48.28648066928785,239,97.54578161294329
391,224.01844037262288,414,97.18046701829779
392,-72.52168517865006,290,94.13137234911568
393,230.75695593639242,686,94.2750967848427
394,246.91987205056157,655,94.99106191650219
395,278.9430310357185,583,95.82834826169933
396,-55.247993295186824,227,95.26616069724061
397,277.0899236542213,475,95.82634745126579
398,234.03869531634635,408,97.6033864713925
399,155.2803479117535,287,98.87604910267291
400,280.0367916128673,309,99.42500784263882
401,-43.09473138161552,222,98.3832786384853
402,223.00064810623212,653,98.57858899493374
403,-71.33804816506034,376,95.64881909103966
404,-55.53346613862981,290,93.17887758239806
405,191.91957187035317,587,93.30081094141859
406,265.96263900944933,256,93.8116293471437
407,212.21645091184305,473,96.25613171750113
408,286.4365866848765,351,96.54028234094612
409,232.87462824590173,743,97.4067415694734
410,291.7011099904778,261,98.31042366449046
411,279.4903405724147,288,100.5077728012282
412,204.84974262789743,868,102.71288323517864
413,214.6889599643033,526,103.08543643086908
414,258.1321004084788,249,105.73535233285693
415,223.82519172721248,573,105.87336054675205
416,297.595215964472,483,109.10009355644276
417,-44.3403491608593,218,109.07200892737886
418,241.98456109994652,294,111.85425349068473
419,308.57252437209274,554,115.62343897288599
420,200.59130777931952,793,117.60573050922214
421,-52.35221306463428,236,116.98412230164482
422,296.8090070541962,411,120.09071480522685
423,237.18892326226347,352,122.70827036808448
424,182.90786695115014,622,121.63801596327053
425,275.6182461472022,625,124.94610863780517
426,242.6568987192385,234,127.57659130889515
