,ep_reward,avg_reward
0,-247.7285468844376,-247.7285468844376
1,-296.0514406731186,-271.8899937787781
2,-114.39880504086366,-219.39293086613995
3,-139.41901096690853,-199.3994508913321
4,-121.3803986238755,-183.79564043784077
5,-295.0403122806825,-202.3364190783144
6,-348.8940024735722,-223.2732167062084
7,-1605.0400070200737,-395.99406549544153
8,-838.9343125145034,-445.2096484975595
9,-641.2319845292916,-464.8118821007327
10,-585.9822479571613,-475.82736990586255
11,-669.2897976277616,-491.9492388826875
12,-590.4217489341972,-499.5240473481882
13,-481.3259005229195,-498.22417971781186
14,-276.9454681429984,-483.4722656128243
15,-229.44161477261835,-467.5953499353115
16,-342.4191065294806,-460.2320414996744
17,-346.763252056026,-453.9282198639161
18,-295.7542249574167,-445.603272763574
19,-247.22039407756807,-435.6841288292738
20,-277.4694848565621,-428.15009816390653
21,-267.8465205355079,-420.86357190807024
22,-294.88503907201704,-415.38624439345915
23,-276.7525777913878,-409.6098416183729
24,-161.34994666244955,-399.6794458201359
25,-193.62041799193153,-391.75409859597426
26,-266.59877512269935,-387.1187162451122
27,-265.98964105716243,-382.7926778455425
28,-348.36260910996685,-381.6054340960399
29,-240.9052925570862,-376.9154293780748
30,-579.5337331308081,-383.45150369267907
31,-458.84056238292965,-385.80741177674946
32,-613.3139740852534,-392.7015500285223
33,-456.4593172995613,-394.5767784776705
34,-464.435546103808,-396.5727432669887
35,-449.97772293097734,-398.0562149243217
36,-328.542066721673,-396.177454162088
37,-495.44910661134725,-398.7898660686474
38,-332.9926835251208,-397.10275882394166
39,-261.99018764207017,-393.7249445443948
40,-329.94874248831377,-392.1694274210758
41,-487.79053615786967,-394.44612048623753
42,-514.5512512460102,-397.23926306204623
43,-215.10166346662712,-393.0997721621503
44,-214.00678731626178,-389.1199280544639
45,-189.14737299301873,-384.7726985966064
46,-232.06287708455403,-381.5235534580521
47,-266.1804149540478,-379.12057140588536
48,-468.2783141779645,-380.94011717674414
49,-253.63341247495447,-378.39398308270836
50,-317.32355683590526,-377.19652374453574
51,-290.0334370818115,-375.5203105394834
52,-30.843097770669303,-369.016966902336
53,-41.840304400330595,-362.9581398189655
54,-59.29997826711338,-357.4370823362046
55,-78.50564324725288,-352.45616378104467
56,-140.04009328763425,-348.7295660530901
57,-92.37199027338845,-344.3096078499918
58,-35.58955616439828,-339.0770646010834
59,-54.16229724327131,-334.3284851451199
60,-127.0455266659163,-330.9304038585756
61,-145.17272632146245,-327.93431228539635
62,-119.65529391069866,-324.6282961207186
63,-114.58329860181799,-321.3463430344857
64,-92.12560843903374,-317.8198701945557
65,-62.281026842477324,-313.948069537706
66,-107.60845912488794,-310.8683738599027
67,-67.96534823729894,-307.29627054192326
68,-142.46067268787718,-304.9073488338936
69,-368.28611329830005,-305.8127597548137
70,-149.01793391233755,-303.60438192604647
71,-174.6432133796955,-301.8132545851249
72,-217.83600295238722,-300.6628812750874
73,-56.185571998155204,-297.35913385242617
74,-157.84551446566888,-295.4989522606027
75,-158.51550186121608,-293.6965384395582
76,236.16235828444474,-286.8152540665192
77,268.06825614110704,-279.70136291001114
78,189.12865524134963,-273.76680571822175
79,260.2021157143602,-267.0921942003145
80,-122.07217549885895,-265.30182359906195
81,-27.028872584288905,-262.3960559037598
82,36.337729690324515,-258.79685366768655
