,ep_reward,steps,avg_reward
152,-226.30100727225675,126,-152.42099166595963
153,-292.744213058646,195,-152.60753399000095
154,-300.7937466405658,123,-154.07748613760947
155,-182.53083756919517,125,-155.6858459399653
156,-12.293793784346319,500,-153.26621365309052
157,-238.96573129783522,358,-151.21673250941893
158,-233.51747693489583,130,-153.196693064213
159,-241.2814672380569,119,-154.94231465035074
160,-110.42679880317759,500,-155.9802072992849
161,-63.638892751307104,500,-155.47462134402332
162,0.28753428957550864,500,-150.68658329699159
163,-34.96508641761214,230,-149.8201529021063
164,-114.22758862588097,85,-149.5074239526692
165,-44.16582439662008,500,-148.6490698468691
166,-112.85318222127098,251,-148.5053098687777
167,-179.07001303997734,468,-148.87431220980835
168,-211.49174621057844,398,-147.5029632141118
169,-309.6494026400527,135,-148.3587287527494
170,-235.79900848496968,96,-150.11359411247543
171,-239.60634914061234,100,-150.858173653358
172,-284.37286216956954,148,-152.79933665129533
173,-231.16714607832404,180,-153.06226175949965
174,-165.11054218469081,197,-152.48885440890717
175,-152.04770135978924,104,-152.48889430337766
176,30.17339078092974,500,-151.63793273160607
177,-136.02838912787013,136,-151.35047896518282
178,-217.57327253381635,187,-153.74727809952003
179,-258.95255045360193,108,-153.96017274000081
180,-258.44843317873926,175,-154.32653607542449
181,-163.33676016481974,287,-153.78984345553954
182,-177.07988823794292,105,-153.76803527285693
183,-300.89648565876746,128,-155.08245011531943
184,-378.7296891753328,130,-158.1680236943974
185,-219.8559953358671,148,-159.50900589675834
186,-199.13346110131044,169,-160.1676834365988
187,-45.67270015171989,500,-159.5279045601962
188,-3.926964413943784,500,-155.0189022339768
189,-320.13061525074477,326,-154.68437741910245
190,-446.2479285612293,161,-157.9264550554396
191,-352.12107323607137,169,-160.23611478232985
192,-270.41472686338807,102,-162.68555209852062
193,-360.174640772215,130,-164.99697572549016
194,-242.81183800544076,120,-167.76647393456614
195,-127.0986833040885,152,-169.00970752330804
196,-62.851205826646364,500,-168.3772748675804
197,-355.63182948262556,442,-170.78469365711814
198,-81.5542477629993,500,-171.06685996612723
199,43.76421174752495,500,-169.28683103514143
200,9.678772061657531,500,-167.8198093539243
201,79.55954560940074,500,-166.94231179907962
202,57.37910083936796,500,-162.65499700434805
203,59.65068764977596,500,-159.81107719657382
204,-61.6610348357063,500,-159.99966176192828
205,40.06067632774705,500,-158.7897922268311
206,19.431014290496506,500,-158.51951428489255
207,-157.87037738656963,179,-156.40113150948608
