,ep_reward,avg_reward
0,-127.42579751237875,-127.42579751237875
1,-120.37975629752749,-123.90277690495313
2,-120.31778940925577,-122.70778107305402
3,-142.74935747785892,-127.71817517425524
4,-176.1596253356432,-137.40646520653283
5,-58.25462067704348,-124.21449111828461
6,-56.77301181973745,-114.57999407563501
7,-69.50594070839301,-108.94573740472975
8,-171.67741017104495,-115.91592326765368
9,-227.53396962430196,-127.0777279033185
10,-159.49112606161583,-130.02440046316372
11,-126.8176950997398,-129.75717501621173
12,-193.66173663857256,-134.6729105256241
13,-187.67408528414626,-138.45870872266138
14,-193.36382253225503,-142.11904964330097
15,-161.34838460912016,-143.32088307866468
16,-203.50020253566572,-146.86084304672357
17,-243.00813990798278,-152.20235953901573
18,-147.03970637237046,-151.93064095129756
19,-193.75710282073436,-154.0219640447694
20,-125.48378015946678,-152.66300290737405
21,-128.29290770185963,-151.55527130712338
22,-133.06729250524546,-150.75144614182435
23,-135.39807163818463,-150.11172220417268
24,-184.1877344814689,-151.47476269526453
25,-144.21835635453832,-151.19567014369812
26,-142.2390962572344,-150.8639451849402
27,-76.12324182277604,-148.19463435057722
28,-126.08445046458604,-147.4322142165775
29,-182.42961753019569,-148.59879432703147
30,-173.75451838979586,-149.41026929679805
31,-161.66124833051106,-149.79311239160157
32,-147.87082211547605,-149.7348611711129
33,-211.15403454947915,-151.54130744694723
34,-233.3327519208158,-153.87820586048633
35,-177.3291166012624,-154.5296200477301
36,-80.75604108523972,-152.53573953523036
37,-60.96810035878913,-150.12606482006086
38,-237.28853040681486,-152.36099983510582
39,13.342729428982308,-148.21840660350364
40,-46.640278833483016,-145.7408912920397
41,-2.710406335512488,-142.33540355497954
42,-138.79596179067465,-142.25309095580965
43,-121.27951855499289,-141.7764188557911
44,-20.65526361913934,-139.08483762830994
45,-203.9498952955435,-140.49494757759763
46,-12.03961774486533,-137.76185545349693
47,-116.41703920480535,-137.3171717816492
48,-107.65638959843275,-136.71184969627743
49,-117.81241021215429,-136.333860906595
50,-150.39902220346198,-136.60964838300413
51,-38.713115592483284,-134.7270227524172
52,-5.104093222162314,-132.28130710090295
53,-121.62862976700004,-132.0840352984233
54,-121.74769799674323,-131.8961018929382
55,-24.912998491320106,-129.985689332195
56,-147.23991269971427,-130.28839500530935
57,-160.4316757820707,-130.80810674283973
58,-98.4059199668345,-130.25891713646675
59,-235.85928190811362,-132.0189232159942
60,-40.05867745053312,-130.51137820344564
61,-105.4441825408831,-130.10706859598497
62,14.552569368444313,-127.81088386639085
63,-22.552591747297587,-126.16622305203003
64,-45.93366832022404,-124.93187605615609
65,-49.8680154835364,-123.79454483535882
66,-166.3127936571282,-124.42914556404196
67,10.425617131270936,-122.44598728911087
68,-10.165025603895911,-120.8187269748324
69,-36.192628428315544,-119.60978270988217
70,-278.0434928869739,-121.84124341660177
71,-353.055360833033,-125.05255060294111
72,-150.28533627596005,-125.39820520120163
73,-214.64636015821122,-126.60426134926934
74,-131.17165739762612,-126.66515996324742
75,-159.84865423773704,-127.10178488791178
76,-114.95554218171658,-126.944041476143
77,5.846012002678747,-125.24160489308117
78,-22.653621245863235,-123.94302282159741
79,39.598270050971706,-121.89875666069028
80,-129.59368015705965,-121.99375571620101
81,49.751749289949935,-119.89929833807722
82,-122.74275394011873,-119.93355683930663
83,-14.954696146431287,-118.68380849772477
84,3.871256432343163,-117.24198420442985
85,-65.15999097817607,-116.63637963203156
86,-39.495167880349264,-115.74969903718464
87,-54.772252299918705,-115.05677350607935
88,-27.238774375078172,-114.07005441471979
89,15.746335608151696,-112.62765008113234
90,9.368855663766789,-111.28702913888071
91,6.213477969624876,-110.00984971378826
92,-2.8075783777431886,-108.85713711877703
93,-12.766368638858768,-107.83489490090555
94,8.275056862342028,-106.61268488234506
95,-7.925673091290731,-105.58469517618823
96,-5.891731753189352,-104.55693266667278
97,-8.23056564056915,-103.57401055416152
98,51.25752092727269,-102.01005569071269
99,11.58385253021018,-100.87411660850347
100,32.496124380503176,-99.27489738957463
101,-7.484951023089536,-98.14594933683026
102,18.92161888203576,-96.75355525391734
103,21.292710040513853,-95.11313457873361
104,-24.63221296123558,-93.59786045498954
105,-28.85995406734922,-93.3039137888926
106,-19.60903921302159,-92.93227406282544
107,-7.0694377304028535,-92.30790903304552
108,-24.475672820586524,-90.83589165954093
109,-13.139895981707951,-88.691950923115
110,-18.531423173902937,-87.2823538942379
111,-5.651166392263676,-86.07068860716312
112,-21.041936902783306,-84.34449060980523
113,-21.155217843549423,-82.67930193539925
114,-8.875455766464583,-80.83441826774134
115,-18.02370334115831,-79.40117145506173
116,5.298883747280328,-77.31318059223227
117,-46.655348772144116,-75.34965268087387
118,-12.062952036919853,-73.99988513751937
119,24.488746151292375,-71.81742664779911
120,43.70047357413884,-70.12558411046305
121,-2.013579487003227,-68.86279082831449
122,-27.776095579104805,-67.80987885905307
123,29.718924308173435,-66.1587088995895
124,45.57859160288342,-63.86104563874596
125,10.799670124197775,-62.310865373958606
126,23.886577282847753,-60.64960863855779
127,22.03853881793701,-59.667990832150664
128,47.58474831174169,-57.931298844387385
129,19.70082639957035,-55.90999440508974
130,17.73024716972978,-53.99514674949448
131,12.597177905878288,-52.25256248713058
132,60.402645164745536,-50.169827814328364
133,28.62465650991124,-47.77204090373446
134,-1.7853073314422048,-45.456566457840715
135,54.67270567449712,-43.136548235083126
136,55.30212535452198,-41.775966570685505
137,18.20207590345941,-40.98426480806302
138,40.2444310823117,-38.20893519317175
139,89.08397583609614,-37.45152272910062
140,1.6931105454775839,-36.968188835311004
141,26.401345656738073,-36.677071315388496
142,5.907683111216976,-35.23003486636958
143,-7.999619685081589,-34.097235877670464
144,-19.36099528678791,-34.08429319434695
145,-2.589818023472394,-32.07069242162625
146,36.279919503263756,-31.587497049144954
147,-31.86716149188648,-30.741998272015767
148,-113.48078396542063,-30.800242215685643
149,-98.65714042891959,-30.608689517853296
150,6.420149494830156,-29.04049780087037
151,20.639477255777322,-28.446971872387767
152,32.365405864583444,-28.07227688152031
153,6.232364848911523,-26.793666935361195
154,-141.071677121643,-26.98690672661019
155,-5.003269155010374,-26.787809433247098
156,23.42223031515809,-25.08118800309837
157,-16.70560869655823,-23.643927332243244
158,-22.270124705263594,-22.882569379627533
159,29.0125090198898,-20.23385147034751
160,30.06518356784088,-19.532612860163766
161,-25.430252884917948,-18.732473563604113
162,-1.735407469550296,-18.89535333198406
163,-114.10256791021584,-19.81085309361324
164,-49.322739644921306,-19.84474380686022
165,35.582748708282,-18.990236164942033
166,-141.9055001986265,-18.746163230357016
167,41.72149754129913,-18.433204426256733
168,-264.30336905820764,-20.974587860799847
169,-36.539282868964676,-20.97805440520634
170,-164.43751356463133,-19.84199461198292
171,-149.65668102966498,-17.808007813949235
172,-218.44424877951212,-18.48959693898476
173,-19.159346121061645,-16.534726798613264
174,-123.71608667865839,-16.46017109142359
175,-195.2724777255981,-16.814409326302197
176,-10.15317012188684,-15.7663856057039
177,-215.3034698400157,-17.97788042413084
178,-120.48418627410082,-18.95618607441322
179,-117.38413643128109,-20.526010139235744
180,-75.25887199309388,-19.98266205759609
181,-186.25177677337862,-22.342697318229376
182,-278.42741109311476,-23.899543889759332
183,-241.61334314125102,-26.16613035970753
184,-274.8645172674141,-28.9534880967051
185,-116.19617186500236,-29.463849905573365
186,49.6372071597301,-28.57252615517257
187,-204.80885158384865,-30.072892148011874
188,-168.58260084611834,-31.48633041272227
189,8.061351137295867,-31.56318025743083
190,27.2534629518904,-31.384334184549598
191,-21.26389551455283,-31.65910791939138
192,12.651318029663798,-31.504518955317312
193,-19.34990569153065,-31.57035432584403
194,24.640206429982854,-31.406702830167617
195,-161.47118065335047,-32.942157905788214
196,53.52836537987151,-32.347956934457606
197,-9.35127557293324,-32.35916403378125
198,87.86430673968002,-31.993096175657175
199,66.27402402065971,-31.446194460752675
200,265.89448153658145,-29.112210889191893
201,-245.58437435606015,-31.493205122521594
202,273.0382302884509,-28.95203900845744
203,61.25141144104752,-28.55245199445211
204,-170.97228531986025,-30.01585271803836
205,-2.3665017677963363,-29.75091819504283
206,298.0376583610937,-26.574451219301682
207,-38.02142341255078,-26.883971076123153
208,-18.890043691967108,-26.828114784836956
209,-12.453443041156902,-26.82125025543145
210,-14.51713451924509,-26.78110736888487
211,33.95949614983203,-26.38500074346392
212,253.10823226804828,-23.6434990517556
213,185.8113725871432,-21.573833147448678
214,19.66211233034782,-21.288457466480555
215,233.27074156413184,-18.77551301742765
216,92.79131676991133,-17.90058868720134
217,213.079987592848,-15.303235323551414
218,185.59605078477017,-13.326645295334515
219,262.8521041358415,-10.943011715489025
220,224.32755622360153,-9.136740888994398
221,32.04375143348108,-8.796167579789556
222,36.5906042438985,-8.152500581559522
223,20.063282356372994,-8.249057001077528
224,19.800591807759417,-8.506836999028767
225,-14.18412943190151,-8.756674994589757
226,258.89044127312866,-6.406636354686952
227,-61.4776284807835,-7.241798027674155
228,-40.82853607311836,-8.125930871522757
229,51.31148614651593,-7.809824274053301
230,18.818819078258286,-7.798938554968015
231,226.8352787821152,-5.6565575462056445
232,279.1193783242676,-3.469390214610422
233,-26.76241049182471,-4.023260884627785
234,15.199752730897842,-3.8534102840043816
235,35.15470279580154,-4.04859031279134
236,18.834935179126802,-4.4132622145452896
237,-21.800516212543513,-4.81328813570532
238,11.192311075095276,-5.103809335777485
239,5.5625508108433195,-5.9390235860300145
240,23.685189455838696,-5.719102796926404
241,302.92702864473927,-2.953845967046391
242,270.32195890908525,-0.3097032090677095
243,29.98832968128343,0.07017628459594193
244,280.2937056570943,3.066723294034763
245,304.1938402710743,6.134559876980231
246,264.3260941180261,8.415021623127853
247,292.9580023399929,11.663273261446648
248,45.21119916284786,13.250193092729333
249,12.74041918049896,14.364168688823518
250,17.10333080854913,14.47100050196071
251,3.9601288111563377,14.3042070175145
252,306.4610983925031,17.045163942793696
253,-22.403048406210672,16.75880981024247
254,42.14786484989358,18.59100522995784
255,-19.844035803497945,18.44259756347296
256,-83.49325042524654,17.373442756068915
257,13.931137208540491,17.679810215119904
258,23.524798279763232,18.137759444970175
259,0.982895153757255,17.857463306308844
260,-7.816456227040206,17.478646908360037
261,-59.238342218294605,17.140566015026273
262,-45.448120762323995,16.70343888209854
263,-44.78608429325918,17.396603718268103
264,9.673525479421642,17.986566369511532
265,-29.383841615523323,17.336900466273477
266,271.02047173816567,21.466160185641396
267,-46.15139455895659,20.587431264638834
268,0.4030589812194165,23.23449554503311
269,-2.5134458304662672,23.574753915418093
270,12.13389764931253,25.34046802755753
271,-29.33005042096309,26.54373433364455
272,18.773991213759928,28.91591673357727
273,-15.795505592406286,28.949555138863825
274,-15.08081554097079,30.0359078502407
275,-2.5035567774627765,31.963597059722062
276,-19.177714471330546,31.87335161622762
277,287.6082972686763,36.90246928731454
278,261.5907686943023,40.72321883699857
279,289.8152606726172,44.79521280803755
280,265.1001500501287,48.198803028469776
281,279.62551490113003,52.857575945214855
282,279.92735369799396,58.44112359312595
283,157.7339247494197,62.43459627203266
284,272.1025789852006,67.90426723455882
285,6.213105172725225,69.12836000493608
286,-23.263169294031442,68.39935624039849
287,237.8934846220895,72.82637960245785
288,251.49132477936575,77.02711885871268
289,60.85093782071087,77.55501472554684
290,12.436210410442584,77.40684220013236
291,235.88562708945324,79.97833742617243
292,282.1826310013147,82.67365055588894
293,-14.251913775710165,82.72463047504715
294,3.8094408080170297,82.51632281882749
295,63.34063791085475,84.76444100446953
296,284.1804817971398,87.07096216864224
297,254.54905739859979,89.70996549835756
298,-14.718662746282305,88.68413580349792
299,24.681328474191147,88.26820884803324
300,270.69167244732876,88.3161807571407
301,243.88850277979938,93.21090952849929
302,262.96754268629263,93.1102026524777
303,-36.07120116867623,92.13697652638048
304,15.785987501710167,94.00455925459617
305,8.942647302897612,94.11765074530312
306,20.49443068144609,91.34221846850666
307,6.716396800743922,91.7895966706396
308,29.800655322599738,92.27650366078528
309,-23.27260425335139,92.16831204866334
310,2.281441713120188,92.33629781098696
311,-15.150922302649903,91.84519362646215
312,27.46143478753521,89.588725651657
313,45.59166964604162,88.186528622246
314,274.4566219005211,90.73447371794774
315,251.08076885499594,90.91257399085639
316,214.5320736257748,92.12998155941501
317,252.7404240057937,92.52658592354446
318,106.90082120017995,91.73963362769855
319,243.62595149241653,91.54737210126432
320,227.03709896117573,91.57446752864007
321,205.1921572288008,93.30595158659327
322,253.56771533496877,95.47572269750397
323,268.4823924832756,97.959913798773
324,24.66368780322135,98.00854475872761
325,18.0820655147633,98.33120670819424
326,-35.7917896328207,95.38438439913476
327,251.05354635770254,98.50969614751965
328,272.00273723010173,101.63800888055182
329,254.28541887730455,103.66774820785973
330,252.18000529840594,106.00136007006118
331,259.809970041096,106.331106982651
332,258.8430396562364,106.12834359597068
333,292.18631636872794,109.31783086457622
334,260.386734849567,111.76970068576291
335,283.46683075627897,114.25282196536769
336,290.2822490659467,116.96729510423587
337,273.23302276794374,119.91763049404076
338,253.84903048925108,122.3441976881823
339,288.4982049112876,125.17355422918673
340,247.788699685875,127.4145893314871
341,209.82735573173085,126.48359260235702
342,225.29723148126862,126.03334532807887
343,253.87262289980688,128.2721882602641
344,156.29770035589934,127.03222820725216
345,217.72620905626422,126.16755189510404
346,259.76650450592507,126.12195599898303
347,262.3293394445805,125.81566937002891
348,14.2571347421909,125.50612872582235
349,-4.49695730370118,125.33375496098034
350,-15.394391823895944,125.0087777346559
351,282.1649466540784,127.7908259130851
352,13.499657819040777,124.86121150735045
353,266.0511391330926,127.74575338274352
354,27.73893259146513,127.60166406015922
355,251.2785620961146,130.31289003915535
356,258.8374046109816,133.73619658951765
357,-223.62668620381473,131.36061835539408
358,289.7806108919367,134.02317648151583
359,59.74849399127126,134.610832469891
360,248.1861597588544,137.17085862974992
361,-95.71681528710721,136.8060738990618
362,259.5043337552088,139.8555984442371
363,283.3740932906136,143.13720022007584
364,19.68599670029241,143.23732493228454
365,259.873329010943,146.1298966385492
366,255.18626930331246,145.97155461420067
367,24.113361453044362,146.6742021743207
368,36.43345094940207,147.03450609400252
369,225.0650940607643,149.3102914929148
370,-39.70927236406088,148.79185979278108
371,237.25690915545013,151.4577293885452
372,274.14814506649,154.01147092707254
373,263.03173321099786,156.79974331510655
374,277.4325184307787,159.72487665482404
375,219.02158695828842,161.94012809218154
376,146.6521087241465,163.59842632413634
377,200.31326603112112,162.72547601176078
378,307.8003416875839,163.1875717416936
379,187.94979245243326,162.16891705949175
380,271.4811372906142,162.2327269318966
381,263.6558685917222,162.07303046880253
382,-32.52732959945122,158.94848363582807
383,240.09828643020256,159.7721272526359
384,-2.4411954625480377,157.0266895081584
385,261.8384084606877,159.58294254103805
386,12.602401118759133,159.94159824516592
387,256.4731733272459,160.1273951322175
388,286.83561581173984,160.48083804254125
389,257.74472613026217,162.44977592563677
390,223.1326315908592,164.55674013744093
391,25.691183933893427,162.45479570588535
392,44.765016105025154,160.08061955692247
393,239.45254795356627,162.6176641742152
394,13.15703573482557,162.71114012348332
395,59.1857736266073,162.66959148064083
396,300.1956924828235,162.82974358749766
397,269.9896873526709,162.98414988703834
398,245.8970417384844,165.59030693188603
399,234.86655853240094,167.69215923246816
400,228.383723303526,167.2690797410301
401,247.72026809870331,167.30739739421918
402,289.95064217350944,167.57722838909137
403,259.2349193911359,170.53028959468946
404,198.8894307043443,172.3613240267158
405,290.1755196547738,175.17365275023457
406,296.64249156821427,177.93513335910225
407,274.4163559149447,180.61213295024427
408,-192.4437574549114,178.38968882246914
409,229.14218604261424,180.91383672542878
410,268.8905697068185,183.57992800536576
411,263.76654580166166,186.36910268640884
412,282.9597051861483,188.92408539039502
413,249.69627272852196,190.9651314212198
414,277.4656592125649,190.99522179434024
415,279.5153963053632,191.27956806884396
416,301.74607957237106,192.15170812830988
417,301.6517420284695,192.64082130853666
418,281.53047458613673,194.3871178423962
419,19.034058181452608,192.14119890928654
420,270.37059133948094,192.5745338330696
421,283.08521803076616,193.35346444108927
422,256.72425177765473,193.38502980551613
423,239.55917379237127,193.0957976186071
424,31.852254420377932,193.16768328477866
425,285.5245667260901,195.8421082968919
426,22.349678692066036,196.42352298014077
427,30.849054151765387,194.2214780580814
428,78.94229857594854,192.29087367153988
429,-23.45099301888486,189.513509552578
430,14.127013463204207,187.132979634226
431,265.2686981100039,187.18756691491507
432,-2.5599296940107763,184.57353722141258
433,57.362560065700194,182.2252996583823
434,22.404543993255118,179.84547774981922
435,7.73607797081452,177.08817022196456
436,245.60550688125488,176.64140280011762
